app_id,behavior_id,host,host_type,uri,uri_type
1,1,wkvip.laiwang.com,1,/lws?sdkver,2
2,1,data.seeyouyima.com,1,/door,2
3,1,hi.huofar.com,1,/dym/feeds,2
4,1,3g.39.net,1,/ymll/,2
5,1,www.jingqizhushou.com,1,/s/api,2
6,1,www.xiaohongshu.com,1,/api/1/sticker/sync,2
7,1,app.ymatou.com,1,/api/Special/NewBannerLists,2
8,1,m.ymall.com,1,/api/menu,2
9,1,sp.kaola.com,1,/api/guidance/,2
10,1,www.shihuo.cn,1,/app3/saveAppInfo,2
11,1,v.lehe.com,1,/goods/RecommendBanner,2
12,1,beilou-photos.b0.upaiyun.com,1,/products/,2
13,1,.yongche.name,2,/u/images,2
14,1,mapiproxy.10101111.com,1,/resource/m/ucar/base/startnew,2
15,1,common.diditaxi.com.cn,1,/passenger/orderrecover,2
16,1,vector0.map.bdimg.com,1,/vecdata/?qt=vVer.*&pcn=com.ubercab,3
17,1,customer.vvipone.com,1,/vip/v4/customer/testServer,2
18,1,.kuaidadi.com,2,/taxi/a/js.do,2
19,1,www.didapinche.com,1,/dida-web,2
20,1,api.miyabaobei.com,1,/index/navigation/,2
21,1,sapi.beibei.com,1,/martshow/search/,2
22,1,rbmcm.suning.com,1,/rbmcm/mobile/system,2
23,1,mlt.app.api.muyingzhijia.com,1,/api/apphome,2
24,1,www.muaijie.com,1,/appapi/index,2
